source	matched_on	person:name	person:alias	person:org	person:role	person:title	person:rank
eb517afd-319c-4949-9a40-63752bef4001	name	Adamu Abubakar		82 Division	Commander	General Officer Commanding	Major General
edcbbdaf-79fe-4e68-b255-91181e8c5962	name	Chris Olukolade		Defence Headquarters	Director of Defence Information	Director of Defence Information	Major General
edcbbdaf-79fe-4e68-b255-91181e8c5962	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
edcbbdaf-79fe-4e68-b255-91181e8c5962	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
eeb8a422-93b2-456f-8874-68eedeace90c	name	Ibrahim Attahiru	I. Attahiru ; I Attahiru	Operation Lafiya Dole	Commander	Theatre Commander	Major General
eeb8a422-93b2-456f-8874-68eedeace90c	name	Lucky Irabor		Operation Lafiya Dole	Commander	Theatre Commander	Major General
eeb8a422-93b2-456f-8874-68eedeace90c	name	Lucky Irabor		Multinational Joint Task Force	Commander	Force Commander	Major General
ef0096ed-e1db-4c3e-b8a3-259c9bec5063	name	Ahmed Tijani Jibrin	AT Jibrin ; A. T Jibrin ; Ahmad Jibrin	2 Mechanised Division	Commander	General Officer Commanding	Major General
ef0096ed-e1db-4c3e-b8a3-259c9bec5063	name	Emmanuel Abejirin	EF Abejirin ; E.F. Abejerin	2 Mechanised Division	Commander	General Officer Commanding	Major General
efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e	name	L.C. Ilo	LC Ilo	2 Mechanised Division	Commander	General Officer Commanding	Major General
efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e	alias	Adeniyi Oyabade	Adeniyi Oyebade	1 Mechanised Division	Commander	General Officer Commanding	Major General
f1f26a4f-10e2-4ce4-a00d-bf614c1efefb	name	Texas Chukwu		Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
f22167e9-0586-44c4-9690-d3a46fd769d0	name	Saleh Maina	S. Maina	3 Armoured Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	name	Lawrence Ngubane		2 Mechanised Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Mohammad Danhanne Issa	Mohammed D. Isah ; Mohammed Isah ; MD Isah	82 Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Sakin-Yaki Bello	Sakin Yakin-Bello ; SY Bello ; Sarkin-Yaki Bello ; Y. Bello ; Sarikiyaki Bello ; Sarkin Yakin Bello ; Sarki Bello ; Seriki Yaki Bello ; Sarkin Bello ; Sarki-Yaki Bello ; Sarkin Yaki-Bello ; Sarki Y. Bello	82 Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Emeka CG Nwanguna	Eugene Nwanguma ; Eugene Nwanjuma	81 Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Kenneth Tobia Minimah	Kenneth Minima ; KTJ Minimah ; Kenneth T.J Minimah ; Kenneth Minimah ; Keneth T.J Minimah ; Ken Minima ; Kelvin Miminah	81 Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Sunday Idoko	Idoko ; Sunday O. Idoko ; S.O Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Mohammed Abubakar	MD Abubakar ; M.D. Abubakar ; M.D Abubakar ; MD Mohammed	2 Mechanised Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Joseph Shoboiki	J.O Shoboiki ; Shoboiki ; J.O Shobeke	1 Mechanised Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	alias	Kamaldeen Role	KA Role	1 Mechanised Division	Commander	General Officer Commanding	Major General
f3dd4b96-e621-4a6f-a3bb-b74d8f7364db	alias	Obi Abel Umahi	Obi Abel Omahi;Obi A. Umahi;Obi Omahi;Abel Umahi;Obi Umahie;OA Umahi;Obi Umahi;Unahi Obi	81 Division	Commander	General Officer Commanding	Major General
f3ea7c54-9938-4532-9bd9-5cf1b7dceb10	name	Ita Selong		Patani Police Division	Commander	Divisional Police Officer	Superintendent
f4888dff-c139-4938-80b2-4d864725007f	name	Ahmadu Mohammed	Mohammed Abdulkadir ; Abdulkadir ; A Mohammed	7 Division	Commander	General Officer Commanding	Major General
f4888dff-c139-4938-80b2-4d864725007f	name	Obida T. Ethnan	Obidah T. Ethan ; Obidah Ethan ; O. T. Etan ; OT Ethan	7 Division	Commander	General Officer Commanding	Major General
f6654e47-be8f-4676-8abf-d11ae91b1d3b	name	Abubakar Ibrahim		3 Armoured Division Garrison	Chief of Staff	Chief of Staff	Brigadier General
f6654e47-be8f-4676-8abf-d11ae91b1d3b	name	Aliyu Abdullahi		3 Armoured Division	Chief of Staff	Chief of Staff	Brigadier General
f6654e47-be8f-4676-8abf-d11ae91b1d3b	name	Benjamin Ahanotu (3 Armoured Division)		3 Armoured Division	Commander	General Officer Commanding	Major General
fb5b60cc-ac5d-4bce-80d3-ab0e8579af04	name	Aba Popoola	ABA Popoola ; Popoola	23 Armoured Brigade	Commander	Acting Commander	Colonel
fc540839-d2cf-4752-a913-6012fb15e9aa	alias	Kenneth Tobia Minimah	Kenneth Minima ; KTJ Minimah ; Kenneth T.J Minimah ; Kenneth Minimah ; Keneth T.J Minimah ; Ken Minima ; Kelvin Miminah	81 Division	Commander	General Officer Commanding	Major General
fe91aabe-38b0-458d-8a55-8032b0e40ed1	alias	Jack Okechukwu Nwaogbo	Jack O. Nwaogbo ; Jack Nwaogbo ; Jack Nwogbo ; Jack Nwaoga ; J. O. Nwaogbo ; Nwoga ; Okechukwu Nwaogbo	3 Armoured Division	Commander	General Officer Commanding	Major General
