source	person:name	person:org	person:role	person:title	person:rank
ef0096ed-e1db-4c3e-b8a3-259c9bec5063	Emmanuel Abejirin	2 Mechanised Division	Commander	General Officer Commanding	Major General
efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e	L.C. Ilo	2 Mechanised Division	Commander	General Officer Commanding	Major General
f1f26a4f-10e2-4ce4-a00d-bf614c1efefb	Texas Chukwu	Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
f22167e9-0586-44c4-9690-d3a46fd769d0	Saleh Maina	3 Armoured Division	Commander	General Officer Commanding	Major General
f22167e9-0586-44c4-9690-d3a46fd769d0	Lawrence Ngubane	2 Mechanised Division	Commander	General Officer Commanding	Major General
f3ea7c54-9938-4532-9bd9-5cf1b7dceb10	Ita Selong	Patani Police Division	Commander	Divisional Police Officer	Superintendent
f4888dff-c139-4938-80b2-4d864725007f	Ahmadu Mohammed	7 Division	Commander	General Officer Commanding	Major General
f4888dff-c139-4938-80b2-4d864725007f	Obida T. Ethnan	7 Division	Commander	General Officer Commanding	Major General
f6654e47-be8f-4676-8abf-d11ae91b1d3b	Abubakar Ibrahim	3 Armoured Division Garrison	Chief of Staff	Chief of Staff	Brigadier General
f6654e47-be8f-4676-8abf-d11ae91b1d3b	Aliyu Abdullahi	3 Armoured Division	Chief of Staff	Chief of Staff	Brigadier General
f6654e47-be8f-4676-8abf-d11ae91b1d3b	Benjamin Ahanotu (3 Armoured Division)	3 Armoured Division	Commander	General Officer Commanding	Major General
fb5b60cc-ac5d-4bce-80d3-ab0e8579af04	Aba Popoola	23 Armoured Brigade	Commander	Acting Commander	Colonel
