title,page,published_on,source_url,archive_url,archive_timestamp,country,key,publication_title,new_pub_id
Agwai Tasks Army On Professionalism,,2004-01-19,http://allafrica.com/stories/200401190521.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Amnesty Committee Mulls Conditions for Boko Haram,,2013-04-09,http://allafrica.com/stories/201304090782.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Army Demands Discipline From Civilian JTF,,2013-11-24,http://www.thisdaylive.com/articles/army-demands-discipline-from-civilian-jtf/165083/,https://web.archive.org/web/20131206163137/http://www.thisdaylive.com/articles/army-demands-discipline-from-civilian-jtf/165083/,2013-12-06T16:31:37,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Army Pledges Continued Defence of Democracy,,2003-03-03,http://allafrica.com/stories/200303030306.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Army Will Tackle Security Lapses,,2011-02-07,http://allafrica.com/stories/201102070365.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Army Wraps up Military Exercise in South-east,,2017-10-16,https://www.thisdaylive.com/index.php/2017/10/16/army-wraps-up-military-exercise-in-south-east/,https://web.archive.org/web/20171016060611/https://www.thisdaylive.com/index.php/2017/10/16/army-wraps-up-military-exercise-in-south-east/,2017-10-16T06:06:11,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Boko Haram - Minimah Hints of Major Army Shake Up,,2014-08-23,http://allafrica.com/stories/201408250887.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Boko Haram - Nigeria Army Compensates Families of Slain Soldiers,,2012-09-16,http://allafrica.com/stories/201209170179.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Custom Official's Killing - Security Operatives Arrest 30 Suspects At Seme Border,,2013-08-31,http://allafrica.com/stories/201309021179.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
GOC - Insurgency Will Soon End,,2015-07-27,http://allafrica.com/stories/201507270974.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
GOC - New Security Role Won't Overwhelm Army,,2013-09-14,http://www.thisdaylive.com/articles/goc-new-security-role-won-t-overwhelm-army/158976/,https://web.archive.org/web/20130916231734/http://www.thisdaylive.com/articles/goc-new-security-role-won-t-overwhelm-army/158976,2013-09-16T23:17:34,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
GOC: New Security Role Won’t Overwhelm Army,,2013-09-14,http://www.thisdaylive.com:80/articles/goc-new-security-role-won-t-overwhelm-army/158976,https://web.archive.org/web/20130916231734/http://www.thisdaylive.com:80/articles/goc-new-security-role-won-t-overwhelm-army/158976,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Governor Seeks Military Assistance On Porous Borders,,2002-03-12,http://allafrica.com/stories/200203120077.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
I'll Tackle Jos Crisis - New GOC,,2009-01-27,http://allafrica.com/stories/200901270079.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Internal Security - Army Modifies Training to Tackle Terrorism,,2011-06-22,http://allafrica.com/stories/201106230423.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Jonathan Charges Service Chiefs to Crush Boko Haram Insurgents,,2014-02-06,http://www.thisdaylive.com/articles/jonathan-charges-service-chiefs-to-crush-boko-haram-insurgents/170746/,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Military Intensifies Campaign Against Insurgents' Stronghold,,2013-05-18,http://allafrica.com/stories/201305200283.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Military Nabs Another Wanted Boko Haram Terrorist,,2015-11-10,http://allafrica.com/stories/201511100644.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Military Recaptures Bama As More Insurgents Are Killed in Adamawa,,2015-03-11,http://www.thisdaylive.com/articles/military-recaptures-bama-as-more-insurgents-are-killed-in-adamawa/203836/,https://web.archive.org/web/20150330042016/http://www.thisdaylive.com/articles/military-recaptures-bama-as-more-insurgents-are-killed-in-adamawa/203836/,2015-03-30T04:20:16,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Mutiny - 'Court Action Negates Rule of Law',,2009-01-14,http://allafrica.com/stories/200901150313.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
